序号,招聘主题,用人单位,发布日期,浏览次数
177,渗透测试工程师,杭州安信检测技术有限公司,2021-12-17,69
178,网络安全测评师,杭州安信检测技术有限公司,2021-12-17,63
179,密码测评工程师,杭州安信检测技术有限公司,2021-12-17,64
180,芯片研发工程师,无锡市核力创芯科技有限公司,2021-12-17,62
181,专利工程师,北京龙双利达知识产权代理有限公司西安分公司,2021-12-17,64
182,专利工程师,北京龙双利达知识产权代理有限公司西安分公司,2021-12-17,61
183,专利工程师,北京龙双利达知识产权代理有限公司西安分公司,2021-12-17,61
184,物理层算法工程师,北京慧清科技有限公司,2021-12-16,74
185,数字信号处理工程师,北京慧清科技有限公司,2021-12-16,74
186,射频工程师,北京慧清科技有限公司,2021-12-16,86
187,嵌入式软件工程师,北京慧清科技有限公司,2021-12-16,74
188,网络算法工程师,北京慧清科技有限公司,2021-12-16,70
189,嵌入式硬件工程师,北京慧清科技有限公司,2021-12-16,67
190,交易员,西安天勤汇理私募基金管理有限公司,2021-12-16,70
191,深圳报业集团2022年校园招聘,深圳报业集团,2021-12-16,102
192,猎头管培生,上海岱澳人才信息咨询有限公司,2021-12-16,67
193,博士后工作站-深度学习算法研究员-医疗AI,北京安德医智科技有限公司,2021-12-16,64
194,中国石油大学（北京）,中国石油大学（北京）,2021-12-16,69
195,软件开发工程师,北京宏天信业信息技术股份有限公司,2021-12-16,61
196,电仪工程师,天津利安隆新材料股份有限公司,2021-12-15,90
197,营销培训生,内蒙古伊利实业集团股份有限公司成都第一分公司,2021-12-15,63
198,外贸业务员,上海浦劢实业有限公司,2021-12-15,59
199,特变电工自控设备有限公司2022届校园招聘简章,新疆特变电工自控设备有限公司,2021-12-15,55
200,市场营销岗,沈阳兴华航空电器有限责任公司,2021-12-20,60
201,设计研发岗,沈阳兴华航空电器有限责任公司,2021-12-20,57
202,生产管理岗,沈阳兴华航空电器有限责任公司,2021-12-20,57
203,高压绝缘研究员（博士）,珠海市睿影科技有限公司,2021-12-20,57
204,中小学教师,桓台县红莲湖学校,2021-12-20,63
205,品牌主播,旷世传声传媒科技有限责任公司,2021-12-20,60
206,直播运营管培生,旷世传声传媒科技有限责任公司,2021-12-20,62
207,攀枝花学院2021年第五批直接考核招聘高层次人才公告,北京磐石活水信息科技有限公司,2021-12-18,64
208,电子工程师,武汉中电通信有限责任公司,2021-12-18,57
209,结构工程师,佛山市芯耀环保科技有限公司,2021-12-17,135
210,研发工程师,佛山市芯耀环保科技有限公司,2021-12-17,65
211,工艺工程师,佛山市芯耀环保科技有限公司,2021-12-17,61
212,品质工程师,佛山市芯耀环保科技有限公司,2021-12-17,62
213,人事行政,佛山市芯耀环保科技有限公司,2021-12-17,59
214,产品策划专员,佛山市芯耀环保科技有限公司,2021-12-17,63
215,渗透测试工程师,杭州安信检测技术有限公司,2021-12-17,70
216,网络安全测评师,杭州安信检测技术有限公司,2021-12-17,64
217,密码测评工程师,杭州安信检测技术有限公司,2021-12-17,65
218,芯片研发工程师,无锡市核力创芯科技有限公司,2021-12-17,63
219,专利工程师,北京龙双利达知识产权代理有限公司西安分公司,2021-12-17,65
220,专利工程师,北京龙双利达知识产权代理有限公司西安分公司,2021-12-17,62
221,专利工程师,北京龙双利达知识产权代理有限公司西安分公司,2021-12-17,62
222,物理层算法工程师,北京慧清科技有限公司,2021-12-16,75
223,数字信号处理工程师,北京慧清科技有限公司,2021-12-16,75
224,射频工程师,北京慧清科技有限公司,2021-12-16,87
225,嵌入式软件工程师,北京慧清科技有限公司,2021-12-16,76
226,嵌入式硬件工程师,北京慧清科技有限公司,2021-12-16,68
227,网络算法工程师,北京慧清科技有限公司,2021-12-16,71
228,交易员,西安天勤汇理私募基金管理有限公司,2021-12-16,71
229,深圳报业集团2022年校园招聘,深圳报业集团,2021-12-16,103
230,猎头管培生,上海岱澳人才信息咨询有限公司,2021-12-16,68
231,博士后工作站-深度学习算法研究员-医疗AI,北京安德医智科技有限公司,2021-12-16,65
232,中国石油大学（北京）,中国石油大学（北京）,2021-12-16,70
233,软件开发工程师,北京宏天信业信息技术股份有限公司,2021-12-16,62
234,电仪工程师,天津利安隆新材料股份有限公司,2021-12-15,91
235,营销培训生,内蒙古伊利实业集团股份有限公司成都第一分公司,2021-12-15,64
236,外贸业务员,上海浦劢实业有限公司,2021-12-15,60
237,特变电工自控设备有限公司2022届校园招聘简章,新疆特变电工自控设备有限公司,2021-12-15,56
238,华为终端 2022届新零售管培生招聘,深圳慧通商务有限公司,2021-12-15,82
239,未来已来 只等你来 ——海南自由贸易港招才引智活动致广大学子的邀请函,国投人力资源服务有限公司,2021-12-15,59
240,管培生,中信证券股份有限公司北京分公司,2021-12-15,83
241,助理工程师,中国建筑股份有限公司国际工程分公司,2021-12-14,70
242,电路设计工程师,华玻视讯（珠海）科技有限公司,2021-12-14,62
243,管理培训生,中粮福临门食品营销有限公司西安分公司,2021-12-14,65
244,电商主播,西安巨蛋网络科技有限公司,2021-12-14,63
245,探店达人,西安巨蛋网络科技有限公司,2021-12-14,64
246,销售工程师,上海仪准电子科技有限公司,2021-12-14,59
247,销售工程师,上海仪准电子科技有限公司,2021-12-14,56
248,贴合工程师,华玻视讯（珠海）科技有限公司,2021-12-14,62
249,材料工程师,华玻视讯（珠海）科技有限公司,2021-12-14,61
250,专任教师,绵阳职业技术学院,2021-12-14,73
251,技术储干,珠海市睿影科技有限公司,2021-12-14,64
252,博士招聘-2021下半年“海外学者中国行”欢迎您参加,学术桥（北京）教育科技有限公司,2021-12-14,62
253,博士招聘-2021下半年“海外学者中国行”欢迎您参加,学术桥（北京）教育科技有限公司,2021-12-14,61
254,管培生,通辽梅花生物科技有限公司,2021-12-14,59
255,深圳市创新投资集团有限公司（简称“深创投”）博士后工作站面向社会招收2022级博士研究生,西安创新投资管理有限公司,2021-12-14,87
256,图像算法工程师-三维视觉方向,广州敏视数码科技有限公司,2021-12-13,68
257,单片机软件工程师,广州敏视数码科技有限公司,2021-12-13,86
258,硬件工程师,广州敏视数码科技有限公司,2021-12-13,73
259,C++软件工程师,广州敏视数码科技有限公司,2021-12-13,88
260,技术与研发类,大连东软教育科技集团有限公司,2021-12-13,85
261,全栈软件工程师,萝卜太辣（北京）科技有限公司西安分公司,2021-12-13,70
262,班主任老师,西安西补教育培训学校有限责任公司,2021-12-13,68
263,管培生（人力资源方向）,广州敏视数码科技有限公司,2021-12-13,58
264,管培生（财务方向）,广州敏视数码科技有限公司,2021-12-13,65
265,管培生（工业工程）,广州敏视数码科技有限公司,2021-12-13,67
266,管培生（行政方向）,广州敏视数码科技有限公司,2021-12-13,60
267,硬件工程师,深圳市安保科技有限公司,2021-12-13,64
268,嵌入式软件工程师,深圳市安保科技有限公司,2021-12-13,67
269,算法工程师,深圳市安保科技有限公司,2021-12-13,62
270,海外销售业务员（英语\日语\西班牙语\俄语\德语）,广州敏视数码科技有限公司,2021-12-13,70
271,外贸助理（跟单方向）,广州敏视数码科技有限公司,2021-12-13,58
272,文案策划,广州敏视数码科技有限公司,2021-12-13,58
