序号,招聘主题,雇主类型
727,设计管理/综合管理/土建质安/机电管理等,其他类型企业
728,市场营销/工程客服/工艺制造/标准算法研究/5G规划优化工程师,互联网科技企业
729,技术研发岗/职能岗/产品岗/海外岗/营销岗,互联网科技企业
730,网络安全技术研究类/密码研究类/软件开发类/硬件开发类/产品测试类/结构设计类/职能类,研究机构
731,实习老师/教辅老师,专业技术服务企业
732,通导人员,其他类型企业
733,设备工程师Field ServiceEngineer/工艺工程师FieldProcess Engineer,工业科技企业
734,研发工程师/自动化运维工程师/安全管理工程师,金融企业
735,可测性设计工程师/算法工程师/UI设计工程师/软件开发工程师/硬件工程师等,互联网科技企业
736,市场营销类/产品运营类/综合职能类/技术类等,其他类型企业
737,评估咨询项目助理岗/ 管理咨询项目助理岗/ 招标代理项目助理岗 /造价咨询项目助理岗 /财务管理专员岗,工业科技企业
738,软件研发类/硬件研发类/产品设计类/职能类,互联网科技企业
739,半导体材料研发/封装研发/制冷研发/芯片研发（助理）/厂务特气工程师,互联网科技企业
740,民生保险实习生/“雏鹰”培训生,金融企业
741,销售主管 /外贸业务员/ 行业研究/ 机械制图/ 中国铁塔市级管理辅助人员(椒江）/ 铁塔共享换电柜运营管理/ 中国铁塔管理辅助人员（温岭）/ 无人机总体设计/ 无人机燃油系统试验 /无人机动力系统试验 /项目管理 /项目工程师 /文员等,社会企业
743,赢销干将（营销管理/人力/策划/事务/客户关系）,金融企业
744,营销管理/汽车研发/制造技术/质量管理/采购管理/信息管理/财务管理/人力资源/纪检监察/审计法务,生活类企业
745,研发类/制造类/营销类/职能类,其他类型企业
746,营销管理储备干部/海外营销管理储备干部/后台管培生,互联网科技企业
747,雷达电子战仿真工程师/通信仿真工程师/光电和红外仿真工程师等,互联网科技企业
748,研发工程师（java）/软件实施工程师/软件测试工程师,互联网科技企业
749,成都地区营业部综合业务岗/雅安地区营业部综合业务岗,金融企业
752,软件开发/硬件开发/产品设计/产品工艺/工程设计/工程技术支持/产品调试测试等,其他类型企业
754,专利代理工程师,人文知识企业
755,设备（信息系统）运维管理/ 技术开发,互联网科技企业
756,事业单位招聘123人/各类院校招聘23人,其他类型企业
758,关于自贡市2022年部分企事业单位赴高校招聘急需紧缺人才的公告,社会企业
759,金融科技岗/风险建模岗/业务运营岗/产品设计岗/管培类/征信管理岗/智能风控管理岗/行研分析岗/数据分析岗/风险经理/风险评审岗/风险策略岗/数据分析岗/放款管理岗/数据工程岗,金融企业
760,硬件工程师/射频电路设计/射频调试工程师/微波天线设计工程师/FPGA工程师/嵌入式软件工程师/图像算法工程师等,互联网科技企业
761,助理硬件开发工程师,金融企业
762,感知算法工程师（深度学习方向）/感知算法工程师（融合预测方向）/决策规划算法工程师/行为预测算法工程师/C++开发工程师/后端开发工程师/仿真工程师/测试开发工程师,互联网科技企业
763,研发类/产品类/自动驾驶类/运营类/销售类/职能支持类,互联网科技企业
764,公司业务应届生岗（市场营销方向）/公司业务应届生岗（投资银行方向）/公司业务应届生岗（交易银行方向）/公司业务应届生岗（培训生方向）/零售业务应届生（私行财富方向）/零售业务应届生（综合金融方向）/零售业务应届生（运营管理方向）/零售业务应届生（培训生方向）,金融企业
766,电气工程师/结构工程师/硬件工程师/软件工程师/仿真工程师/电池工艺/项目经理/,互联网科技企业
767,正编教师,其他类型企业
768,电气工程师/热能工程师/热控工程师,高新技术企业
770,应用研发和测试类/应用研发和测试类/系统运维类/系统运维类/信息安全类,金融企业
771,“美丽四川·创业天府”2021年四川人才活动周,教育单位类
773,亚太销售培训生/亚太财务培训生/现场服务工程师/软件研发工程师/项目工程师实习生/MES工程师实习生/现场服务助理工程师实习生/软件开发实习生/软件测试实习生/前端开发实习生/后端开发实习生/OT开发实习生等等,其他类型企业
775,FAE现场应用工程师/模拟IC版图设计工程师/模拟集成电路设计工程师/SoC集成电路逻辑设计工程师/运维工程师(主机方向)/运维工程师(网络方向)/运维工程师(信息安全方向),互联网科技企业
776,高级光学工程师/光学工程师/激光应用/软件工程师/硬件工程师/机械结构/销售/技术支持/光学测试工程师,其他类型企业
778,技术支持工程师/算法工程师（通信信号处理）/算法工程师（雷达信号处理）/微波射频工程师/软件工程师（QT/C++）/软件工程师（C#/WPF）/NPI工程师/硬件工程师/逻辑工程师（信号处理）/逻辑工程师（架构设计）/销售工程师,互联网科技企业
779,算法工程师/产品工程师/用户界面开发工程师/系统工程师等,互联网科技企业
780,计算机类/经济金融类/信息安全类/管理类,互联网科技企业
781,结构设计工程师/强度工程师/电气工程师/飞控算法工程师/通信导航工程师/实验测试工程师,工业科技企业
782,产品光学设计岗/产品电路及软件设计岗/产品试制光学设计岗/产品试制整机装调工艺设计岗/产品电路硬件调试及设计岗/红外检测技术研究/硬件调试工程师岗/光电系统装调工艺设计岗/光学系统装调工艺设计岗/光机系统装调工艺/智能制造岗/信息化岗设计岗/,互联网科技企业
783,汽车研发（北京/上海)/自动驾驶（北京/上海)/智能与信息技术（北京/上海） /生产制造（北京/江苏常州） /供应链（北京/上海/江苏常州/四川绵阳） /用户质量（北京/江苏常州）/用户与市场（北京）/充电网络（北京）/市场与销售服务（北京/上海/重庆/广州/深圳/杭州/成都/武汉）/综合管理（北京&amp;amp;上海&amp;amp;常州）/职能（北京&amp;amp;上海&amp;amp;常州）,生活类企业
784,研发类/ 临床工程师 /注册工程师 /硬件工程师 /FPGA工程师 /算法软件工程师 / 应用软件工程师/ MEMS研发工程师 / 传感器研发工程师 /系统测试工程师 /导管研发工程师（材料方向） /导管研发工程师（结构方向）,互联网科技企业
785,前端、后端开发工程师 /信号研发工程师（ATS方向)/信号研发工程师（车载方向)/销售专员/信号技术工程师（工程方向）/信号技术工程师（运维方向）/人力资源专员/核算会计专员,其他类型企业
787,Java开发工程师,研究机构
789,产品管理岗/规划管理岗/产品经理岗/系统运维岗/测试工程师等,金融企业
790,临床医学生/营销培训生/技术培训生/IT培训生,医疗科技企业
793,硬件类岗位/软件类岗位,工业科技企业
794,营销管理类/信息技术类/财务管理类/招标采购类/法务风控类,金融企业
795,总行员工储备生/总行科技储备生/分支机构员工 /分支机构,金融企业
796,编辑记者/美术编辑,其他类型企业
797,专家系统研发/软件开发/算法工程师/大数据工程师,工业科技企业
799,工程管理及项目运营类 /数据与信息类 /设计研发类 /资金类 /流程管理类 /财务类 /人力行政计划类等,金融企业
800,技术专家/运营专家/ 管理/技术培训生,生活类企业
802,机械工程师/软件工程师/电子工程师/电气工程师/算法工程师/销售工程师,互联网科技企业
803,算法/软件开发工程师,互联网科技企业
804,总行管理培训生/分行管理培训生/总行信息技术岗/营运中心运营支持岗/网点综合服务岗,金融企业
805,管理培训生/科技金融培训生/综合营销培训生,金融企业
806,交通运输类/金融学类/经济学类 机械/电气及自动化类/电子信息类/计算机类,金融企业
808,硬件工程师/测试工程师/FPGA工程师/嵌入式软件工程师/嵌入式软件工程师/系统硬件工程师/卫星综测软件工程师 /卫星姿轨控算法工程师 /卫星姿轨控软件工程师/载荷系统测试工程师/载荷系统工程师/卫星遥感工程师,互联网科技企业
809,信号完整性工程师,工业科技企业
810,公司总部岗位/财富分支机构岗位,金融企业
811,硬件及软件工程师/机械结构工程师/产品测试工程师,互联网科技企业
812,Android系统开发工程师/ Android驱动开发工程师/ Android应用开发工程师/ 嵌入式开发工程师/ 结构开发工程师/ 硬件开发工程师/ JAVA开发工程师/ 工具开发工程师/ 项目管理工程师/ 认证工程师/ 硬件测试工程师/ 软件测试工程师/ 产品工程师/ 销售工程师/ 售前技术支持工程师/ 售后技术支持工程师/ 海外技术支持工程师/ 海外商务专员/ 市场专员/ 商务专员/ 客服专员/ 人力资源专员/ 项目申报专员/ 财务专员/ 采购工程师/ 物料计划工程师(PMC)/ 品质工程师/ 工程技术工程师/ 资材管理工程师/ 生产管理工程师,互联网科技企业
814,硬件研发/软件研发/算法/光电设计/信息系统开发/测试岗/销售岗/职能岗,研究机构
815,创新产品支撑经理/软件开发工程师/数据挖掘工程师/无线网络优化工程师/云网工程师/通信电源专业工程师/财务岗/法律岗/人力资源岗等,互联网科技企业
816,研发工程师 /助理研发工程师 /工艺工程师/ EHS工程师 /质量工程师 /检测分析工程师 /设备工程师/ 电气/电仪工程师 国内销售代表 国际业务代表 国际客服专员 /采购工程师 /土建工程师/ 财务管理 /法务专员/ 证券事务专员等,工业科技企业
818,业务分析师/业务经理,其他类型企业
819,运营管培生/数字营销管培生/财务管培生/HRBP管培生/技术创新中心管培生等,互联网科技企业
820,客户经理/投资经理/产品经理/信贷管理/风险管控/发放审查等/综合柜员,金融企业
821,密码与网络安全工程师/安全分析工程师,互联网科技企业
822,专利审查员,人文知识企业
823,财务/人力资源管培生/信息化专员/风控专员/QA工程师/生产测试工程师,互联网科技企业
825,软件算法/机械设计/电子系统等的研发岗位,其他类型企业
826,土地业务方向/金融投资方向/工程管理方向/法律事务方向/数据信息方向/财务审计方向/商务贸易类/研发类,其他类型企业
827,计算机类/工商管理/公共管理等,其他类型企业
829,中小学教师,教育单位类
830,城乡规划/建筑/土木/经济管理/水利/风景园林/交通/新能源/计算机/法学,研究机构
831,在编初中教师,教育单位类
832,生产工艺工程师/设备技术工程师/产品研发工程师,其他类型企业
833,管理培训生岗位\金融科技类岗位\综合柜员岗位,金融企业
834,算法类/工程技术类,互联网科技企业
835,大数据实习生/Java开发实习生/产品运营实习生,生活类企业
836,管理类 /文旅工程类/ 经济金融类 /文史类 /新闻传播类 /数字IT类 /其它类,金融企业
837,管理培训生/信息科技类/会计运营类,金融企业
838,药物合成研究员/有机合成助理研究员/药物分析助理研究员/有机合成实验员,医疗科技企业
839,材料加工工程 /材料类 /力学类/ 动力工程及工程热物理 /机械类/ 电气类/ 自动化类等,其他类型企业
840,技术类 /营销类/ 运营类 /职能类,工业科技企业
841,电气类/计算机类/通信类/机械测控类/环境化学类/热能动力类/市场营销类/工程管理类/土建水文类/勘测类/物流管理类/工商管理类/公共管理类/经济类/财会审计类/法学类/新闻类/语言文学等,其他类型企业
842,硬件开发/硬件测试/模块导入/器件开发/光学设计/器件工艺/元器件开发/产品测试/工艺工程/EMC工程师,互联网科技企业
843,新媒体采编/惠农项目专岗/数据管理/资金管理 /核算会计/人力资源管理/工艺工程管理/纪律检查/文创业务策划/营销策划/网络运维/软件开发/业务教师/综合管理 /经营管理 等,其他类型企业
844,土建管理/成本管理岗/招标采购岗/财务管理岗/建筑设计岗/精装设计岗/景观设计岗/研策岗/招商岗/运营岗/推广岗,其他类型企业
845,Java/C++/前端开发/运维/安全/搜索研发工程师,金融企业
846,FPGA工程师/嵌入式软件工程师/硬件工程师/软件工程师,互联网科技企业
847,研发工程师/传热工程师/系统工程师,金融企业
849,客运营销岗/综合事务岗,其他类型企业
851,软件研发工程师/前端开发工程师/软件测试工程师/助理保险软件产品经理,互联网科技企业
852,财务咨询师,专业技术服务企业
853,管理类,其他类型企业
854,兽医/养殖技术管培生/生产储备干部/饲料营销管培生/食品营销管培生/零售管培生/职能管培生/人力储备干部/财务储备干部,生活类企业
855,小学语文教师/小学数学教师/小学英语教师/初中语文教师/初中数学教师/初中英语教师/高中语文/高中英语/高中数学/机器人教师/AP教师,教育单位类
857,财务管理/审计岗/行政文秘等,社会企业
858,市场经理/信息化咨询师/IT架构师/信息化工程师/通信设计咨询师/设计工程师/通信技术工程师/暖通工程师/电气工程师/客户经理（市场营销及投标方向）/产品经理/软件开发工程师/法务专员/Java开发工程师/网络安全工程师/产品需求工程师/系统工程师/Web前端开发工程师/网络通信工程师/项目经理/电源动力工程师/综合管理/人力资源管理/物业管理/会计/招标项目经理/计算机工程师,互联网科技企业
859,投资经理 /分析师,金融企业
860,教学人员,互联网科技企业
861,橙光培训生（公司业务方向）/产品经理方向/零售培训生,金融企业
862,区块链开发工程师/研发工程师（科研岗）/前端开发工程师/后端开发工程师（Java、C++、Golang、Python）/商务/售前技术支持/区块链运营,互联网科技企业
863,航天火工品技术岗,工业科技企业
865,机械工程师/动力工程师/液压工程师/电气工程师/控制工程师/销售经理/焊接工艺师/装配工艺师/供方开发工艺师/标准化工程师/海外销售经理/法务/品牌管理专员/生产管理/精益生产管理/采购管理/安全工程师/设备工程师/质量体系管理/会计,工业科技企业
866,技术类/研发类/生产类,其他类型企业
868,研发（前端开发）/研发（JAVA开发）/产品类 /设计类/信息安全类,工业科技企业
869,猎头管培生/RPO管培生/外包管培生,社会企业
870,算法工程师/软件工程师/逻辑工程师/系统测试工程师/功放工程师/射频工程师/PCB Layout工程师/天线工程师/数字硬件工程师/滤波器工程师/电源工程师,互联网科技企业
871,信贷管理岗/风险管理岗,金融企业
872,AI工程师/嵌入式开发/嵌入式驱动/Windows软件开发工程,互联网科技企业
873,软件研发工程师/数据分析师/人口研究员/运维工程师/业务运营专员/初级测试工程师/产品专员,互联网科技企业
874,管培生/网络维护/无线网建维工程师/财务/经营管理/互联网技术及应用/宽带接入网项目经理/市场营销管理/政企市场策划等,互联网科技企业
875,工艺工程师/车辆工程师/机械工程师/制造工程师/质量工程师,生活类企业
876,物理层算法工程师 /网络算法工程师/ 数字信号处理工程师 /嵌入式软件工程师/射频工程师/嵌入式硬件工程师/技术支持工程师/系统测试工程师/客户经理,互联网科技企业
877,工程/商务/法务/行政/人力资源管理,其他类型企业
878,电子信息工程师/计算机工程师/通讯工程师等,金融企业
879,IC设计工程师/IC前端实现工程师/FPGA设计工程师/嵌入式软件开发工程师/模拟设计工程师/数模混合设计工程师/模拟版图工程师/芯片验证工程师/嵌入式开发工程师/Linux系统开发工程师/应用开发工程师/CAD/EDA工程师,互联网科技企业
880,机械工程师/ 机器人控制算法工程师（轨迹规划）/ 机器人控制算法工程师（力控方向）/ 软件测试工程师/ 软件开发工程师（工业通讯）/ 拍摄剪辑师/ 节卡智能-自动化工程师/ 机械臂离线编程仿真平台开发等,互联网科技企业
881,数控软件开发工程师/数控平台开发工程师/嵌入式软件工程师/数控系统综合应用测试工程师/产品硬件测试工程师/数控系统产品研究工程师/自动化软件开发工程师/自动化应用开发工程师/数控系统应用工程师等,金融企业
882,研发设计/信息技术,其他类型企业
883,产品经理/信息安全工程师/JAVA开发工程师/前端开发工程师/中间件开发工程师/测试工程师/产品运维/算法工程师/战略规划/财务专员等,互联网科技企业
884,设计师/品牌培训生/媒介培训生/数字营销培训生/包装工程师/研发工程师/消费者洞察/销售培训生/稽核专员/外贸助理/电商运营/电商整合营销/电商数字化运营/电商通路行销/销售系统管理/O2O运营/销售执行/行销专员/法务专员/人资专员/产品培训生/感官与消费者洞察/软件开发/供应链数据分析/质量培训生/生产储干/蒸馏师/电气/机械培训生/中试工程师/调酒师,其他类型企业
885,战略储备生,金融企业
887,研发岗,其他类型企业
888,2022百威亚太技术与数据分析管理培训生（TMT）校园招聘,专业技术服务企业
889,电子信息技术/智能制造、装备研发/材料检测技术/光电技术研究/复合材料技术等,研究机构
890,“国资骐骥”应届生招聘,其他类型企业
891,对日软件研发/对日软件设计/对日软件测试,互联网科技企业
892,C++算法工程师,互联网科技企业
894,技防部工作员/项目管理工作员/法务工作员/审计工作员/综合部工作员,其他类型企业
895,整车研发类/智能制造类/市场营销类/其他职能类,生活类企业
896,智能制造/软硬件开发/产品策划/市场营销/行政管理,互联网科技企业
897,研发技术类/互联网IT类/职能管理类/市场营销类,工业科技企业
898,C++开发工程师,互联网科技企业
899,数据融合技术方面助理研究员/大数据操作系统助理研究员/大数据应用方向助理研究员/传感器数据融合开发工程师/知识图谱开发工程师/区块链应用工程师/大数据和人工智能领域开发工程师/JAVA开发工程师/信息安全领域工程师/前端开发工程师,研究机构
900,C++开发工程师\JAVA开发工程师 \前端开发工程师\测试工程师\UI设计师\UE设计师\实施工程师\产品工程师\建模工程师\营销管理岗,互联网科技企业
901,研发工程师（3个研发方向）/测试工程师/技术支持工程师（FAE）/系统应用工程师,互联网科技企业
902,医药研发类/质量类/生产技术类/采购类/机械电气类/物流类/EHS类/市场准入类/医学市场类/营销类/销售支持类/人力行政类/法务类/财务类/金融类,医疗科技企业
903,教师岗位,其他类型企业
904,保利商业管培生,专业技术服务企业
905,KING计划管培生-产品研发/KING计划管培生-游戏定向/KING计划管培生-市场运营,互联网科技企业
906,技术销售培训生,专业技术服务企业
907,研发工程师/销售工程师/检测工程师,工业科技企业
908,JAVA开发工程师/ABS项目管理岗/前端开发工程师/数据开发工程师,金融企业
909,电子信息类培训生,其他类型企业
910,智能网联/自动驾驶/研发设计/制造与质量/人力资源/财务管理/物流管理/三电开发,工业科技企业
911,安全主管/财会税务/船舶驾驶员/档案管理/工程主管/环保主管/技术主管/文体干事/轮机员/企业管理/人力资源管理/软件开发工程师/审计员/生产管理/食品卫生监督员/通讯工程师/文秘宣传/记者/项目经理/信息化管理工程师/策划运营,其他类型企业
912,数字化方向/技术支持方向/产品市场方向/战略方向/财务方向/人力资源方向/技术销售方向/技术支持方向/产品市场方向/数字化方向/嵌入式软件方向/电子方向/机械设计方向/工业化方向/测试方向/质量方向/工艺方向/计划方向/采购方向等,工业科技企业
913,路桥方向/房建方向/给排水方向/材料方向/安全方向/造价方向/能源方向/行政文秘方向/人事方向/法务方向/物流管理方向/档案管理方向/财务类方向/证券方向/审计类方向/室内设计方向/环境园林设计方向/计算机信息方向/机电方向/营销方向/文旅规划方向/投资方向,金融企业
914,控制 工程师/物联网 工程师/嵌入式 工程师/维护 工程师图像识别 工程师/物联网平台 软件工程/ 软件开发 工程师/管理 培训生,医疗科技企业
915,软件开发工程师/安全运维/网络运维工程师/项目助理/实施工程师,生活类企业
917,销售储备干部\生产供应链储备干部\产品研发储备干部\财务储备干部\职能类储备干部,其他类型企业
918,管培生/产品研发类/市场/运营类,互联网科技企业
919,设计员/应用系统开发员/工艺技术员/检验技术员,工业科技企业
920,导航算法工程师/机器人控制算法工程师/AI产品经理/软件工程师/JAVA开发工程师/UI视觉设计师/品牌专员 /财务专员/法务专员/采购执行工程师/生产采购工程师/ 电子工程师,互联网科技企业
921,总行管理培训生 /定向培养类（含零售金融/公司金融/投资银行/风险管理/法律合规/人力资源/财务会计/党务建设方向)/金融科技类等,金融企业
922,游戏研发工程师/运维工程师/游戏分析师/游戏策划师/广告专员/运营专员/营销策划专员/人力资源专员,互联网科技企业
923,管理培训生/信息科技岗/营业网点业务岗,金融企业
924,研发中心/ 智能制造中心/工程技术中心/供应链与运营/职能方向/市场营销中心,其他类型企业
925,集成电路研发类/数字前端设计/数字验证/固件工程师/C++工程师,互联网科技企业
926,软件研发工程师/web全栈工程师/测试开发工程师,互联网科技企业
927,企划宣传,互联网科技企业
928,成本招采/工程管理/研发设计/财务融资/运营品质/行政管理,专业技术服务企业
930,软件研发工程师/软件测试工程师/硬件研发工程师/RF硬件设计工程师,互联网科技企业
933,图像处理算法工程师 /C++软件工程师/嵌入式软件设计,互联网科技企业
934,冲压工艺工程师/焊接工艺工程师/产品工程师/质量工程师/项目工程师/制造工程师,工业科技企业
935,芯片设计工程师/系统架构师/深度学习研究员/C++后端开发工程师/高级结构设计工程师等,教育单位类
936,食品工艺研发岗 /会计岗 /生产一线管培生/ 销售一线管培生,其他类型企业
937,自动化工程师/工艺工程师/产品工程师/生产主管/供应链开发专员/物流专员/关务专员/EHS工程师,医疗科技企业
938,客户助理/项目助理/评审助理/党群工作岗/行政助理,其他类型企业
939,信息技术部开发经理/固定收益研究部研究员/多元资产管理部研究员/交易部交易员/产品规划部助理产品设计师/互联网金融部运营经理助理/市场部机构中台助理/基金运作部基金会计助理/基金运作部运营会计助理,金融企业
940,人保财险-总公司-信息技术类条线-系统开发岗/人保财险-总公司-信息技术类条线-质量保障岗,金融企业
941,制造培训生,生活类企业
942,IC工程师（青岛、西安、上海）/嵌入式软件工程师（青岛、西安）/硬件工程师/C++/Java /Android/IOS软件开发工程师（青岛、西安）/算法工程师（青岛、西安）/FPGA工程师/嵌入式软件工程师/硬件工程师/区域销售经理/技术支持工程师,其他类型企业
943,信息化专员,工业科技企业
944,电气类/计算机类/通信类/工程管理类/机械测控类/土建水文类/市场营销类/物流管理类/环境化学类/热能动力类/财会审计类/法学类/经济类/工商管理类相关专业,其他类型企业
945,万联证券“星秀计划”管理培训生,金融企业
946,数据发掘工程师,研究机构
947,软件研发/工程技术/项目管理/智权法务/市场运营/大数据,其他类型企业
949,软件开发实习生 （西安/成都/上海）,互联网科技企业
950,管培生（财务方向） /财经编辑/ Web前端开发工程师 /性能测试工程师 /PHP工程师 /AI算法开发工程师 /Java工程师/ 金融理财师等,金融企业
951,数据开发工程师实习生,金融企业
952,软件研发/硬件研发/工程运维/技术研究/工程设计/工艺设计,其他类型企业
953,项目经理岗/项目发行岗/项目督导岗/分析师岗/机构销售岗/助理咨询师岗等,金融企业
954,专利工程师/商标代理人助理,人文知识企业
955,数字设计工程师/数字验证工程师/硬件开发工程师/固件开发工程师/测试、测试开发工程师/自动化开发工程师/软件系统工程师/Linux平台驱动工程师/嵌入式软件开发工程师/售前、售后技术支持工程师/后端技术支持工程师/产品运营/招聘助理/行政,互联网科技企业
956,专业技术岗位,政府企业
957,硬件工程师/软件工程师/算法工程师/结构工程师/电路设计工程师/FPGA工程师/测试工程师/微组装工程师/可靠性工程师/传感器工艺工程师（懂焊接）/微电子工艺工程师/销售工程师/管培生,互联网科技企业
959,管理咨询顾问/研究员/客户经理类,专业技术服务企业
960,产品摄影剪辑,专业技术服务企业
961,Java/web/C++实习生,互联网科技企业
964,理论研究/系统设计/电路设计/信号处理/天线设计/软件开发/结构设计/职能管理/电波观测,研究机构
965,助理猎头顾问/猎头实习（专注于金融高端人才招聘）,专业技术服务企业
966,资本运营领袖生/监察领袖生/运营领袖生/招采领袖生/成本领袖生 /工程领袖生/ 投资领袖生 /财务领袖生 /客研领袖生/行政领袖生 /人力领袖生 /法务领袖生营销榜样生等,其他类型企业
967,射频IC集成电路工程师／模拟IC集成电路工程师／web前端开发工程师／大数据开发工程师／软件测试工程师／后端开发工程师／硬件工程师／结构工程师／项目经理／嵌入式软件工程师／软件工程师／数字芯片设计工程师／RTL验证工程师／芯片应用开发工程师（嵌入式软件）／通信算法工程师／GNSS基带工程师／GNSS算法工程师／信号处理工程师／优化算法工程师／芯片系统测试工程师／编译器工程师／芯片设计AI算法工程师／算法工程师／软件工程师／解决方案软件开发工程师／协议栈开发/通信协议工程师／工具软件研发工程师／FAE,互联网科技企业
968,投资发展类/ 设计管理类/ 工程管理类/ 营销管理类/ 运营管理类/ 风控合规类/ 数字科技类/ 管培生岗位等,金融企业
969,采购专员,互联网科技企业
970,客户经理/运营专员/项目助理,专业技术服务企业
971,投资研究类 /金融衍生品类/ 投资银行类 /机构业务类 /合规风控类 /财务资金类/ 运营管理类 /纪检监察类 /大数据类/ 人工智能类 /软件开发类/ 网络安全类,金融企业
972,销售员/销售助理/行政助理/软件工程师/设备工程师/财务运营管理/质量管理员/采购助理/验收员,医疗科技企业
973,网络安全技术研究类/软件开发类/硬件开发类/产品测试类/结构设计类/密码研究类/职能类,研究机构
974,开发类实习生/运营类实习生/综合类实习生,互联网科技企业
975,管培生/业务岗,金融企业
976,投资发展方向 /经营发展方向 /客服管理方向/ 财务管理方向 /人力资源方向,其他类型企业
977,雷达总体设计师/信号处理设计师,其他类型企业
978,综合管理类/市场营销类/柜面操作类,金融企业
979,机械工程师/软件/算法工程师/硬件工程师/销售,医疗科技企业
980,售前工程师,互联网科技企业
981,研发工程师（图像算法/结构/硬件/应用软件等）/职能岗/营销岗/技术支持岗/供应链岗,互联网科技企业
982,软件开发工程师/模拟电子工程师/数字电子工程师/机械设计工程师等,互联网科技企业
983,市场经理/信息化咨询师/IT架构师/信息化工程师/通信设计咨询师,工业科技企业
984,标准化技术研究/质量管理研究/可靠性与质量检测/产品工程研究/元器件技术研究/检测试验技术研究/大数据与信息化建设,研究机构
985,校园大使/iOS开发工程师/Android开发工程师/Web开发工程师/软件开发工程师-C/C++方向/软件开发工程师-Golang方向/软件开发工程师-云原生方向/边缘计算开发工程师/分布式系统开发工程师/搜索算法工程师/AI算法工程师/AI系统工程师/多媒体开发工程师/存储开发工程师/安全开发工程师/网络通信开发工程师/无线通信开发工程师/Linux系统开发工程师/Linux驱动开发工程师/运维开发工程师/软件测试工程师/产品经理-软件方向/平面设计师/交互设计师/产品经理-硬件方向/工业设计师/硬件工程师/电路设计工程师等,互联网科技企业
986,初级算法工程师,互联网科技企业
987,管理培训生/业务管理岗/柜员岗,金融企业
988,C/C++/嵌入式软件开发/应用软件开发/Web开发工程师,工业科技企业
989,射频工程师/硬件工程师/FPGA工程师/嵌入式软件工程师/调试工程师/,互联网科技企业
990,通信类/建筑类/信息化及其它/管理培训生,研究机构
991,信贷管理岗,金融企业
992,科技类管培生,金融企业
994,助理应用工程师- OPC /助理应用工程师- DFT/助理应用工程师- DVT,互联网科技企业
995,研发工程师/工艺工程师/工艺整合工程师/设备工程师/测试工程师/硬件工程师/质量工程师/软件开发工程师,工业科技企业
996,嵌入式软件开发工程师/售前支持工程师（国内/国际）/用户服务工程师（国内/国际）,医疗科技企业
997,助理交易系统开发/基金市场管培生/基金运营管培生/行政人事管培生,金融企业
998,研发/工艺/质量工程师,互联网科技企业
999,电气工程师/机械工程师/电子工程师/软件工程师/自动化工程师/销售工程师,互联网科技企业
1000,嵌入式软件开发工程师/硬件工程师/Linux软件工程师,互联网科技企业
1001,软件工程师/硬件工程师/FPGA,互联网科技企业
1002,集团管培生/专业技术培训生,金融企业
1004,产品测试/架构设计/人才培养及发展/大数据分析/程序开发,互联网科技企业
1005,前端开发工程师/Python开发工程师/产品经理/广告运营/新媒体运营,互联网科技企业
1006,飞行器修理工程师,工业科技企业
1007,售前产品经理/客户经理/市场类/技服安服类,互联网科技企业
1010,运维工程师/电气工程师/研发工程师,高新技术企业
1011,新零售管培生,其他类型企业
1012,三维重建算法工程师/ 网格处理算法工程师 /深度学习算法工程师 /3D打印算法工程师/ SLAM算法工程师 /三维模型设计算法工程师/ 机器视觉算法工程师 /C++开发工程师/ 前端开发工程师 / Golang后端开发工程师/ 电子硬件开发工程师 /嵌入式软件开发工程师 /FPGA开发工程师/ 机械结构设计开发工程师/ 材料配方工程师 /软件测试工程师 /硬件测试工程师/ 材料测试工程师 /交互设计师 /3D打印应用工程师 /中试结构工程师 /中试电子工程师 /产品经理储备岗 /研发项目管理储备岗/海外销售工程师 /销售工程师/ 技术支持工程师 /海外技术支持工程师 /数据分析师 /内容运营专员/ 线上推广专员 /市场营销专员 /视频剪辑师 /视觉设计师 /人力资源管培生 /海外会计/ 成本会计/ 科技发展专员 /商务专员/ 客服 /供应链管培生（采购/质量管理/工艺/体系/注册等多个方向/） 出口报关专员/ 进口报关专员/仓库管理员/ 采购工程师 /工艺工程师 /计划物控专员 /资产管理员,互联网科技企业
1014,计算机科学与技术/软件工程/信息与通信工程/电子与通信工程/电气工程/电力系统及其自动化等,工业科技企业
1016,生产技术管理类专业技术岗/工程建设管理类专业技术岗/软件开发与维护相关专业技术岗/综合管理相关专业技术岗,其他类型企业
1017,超透镜设计工程师/光学测试工程师/光学结构工程师/光学设计工程师/工艺工程师,互联网科技企业
1018,程序助理/策划助理/美术助理/视频设计助理/广告文案助理/国内广告投发助理/游戏运营助理/海外运营助理/海外广告投发助理/ios运营助理/PHP开发工程师/前端开发工程师,互联网科技企业
1019,技术研发类 /质量工艺类/ 报价类/ 招标采购类 /精益管理类/ 市场管理类 /市场营销类 /职能管理类/电气工程及其自动化/机械设计制造及其自动化/机械工程/法学、审计学、会计学/财务管理/人力资源管理/统计学/工业工程/财政学,其他类型企业
1020,C++开发工程师 /Web开发工程师/产品设计工程师/测试工程师/网络安全工程师/产品专员,互联网科技企业
1021,【组团】浙江-成都人才招聘会,其他类型企业
1022,管理培训生/信息科技类岗位/运营支持类岗位/业务营销类岗位,金融企业
