序号,招聘主题,雇主类型
200,自如集团2022管培生招聘,专业技术服务企业
201,引才新政 待遇优厚-广西科技大学2021-2022年面向海内外诚聘优秀人才,互联网科技企业
202,兰州化物所2022年人才招聘启事,互联网科技企业
203,2022中国电建集团青海省电力设计院有限公司校园招聘,工业科技企业
204,“梦想靠岸”招商银行佛山分行2022校园招聘启事（冬季场）,金融企业
205,加入航天，为国防做贡献,互联网科技企业
206,首钢集团有限公司技术研究院,其他类型企业
208,长三角核心区-嘉兴学院2021-2022年度人才引进招聘公告,互联网科技企业
209,2022年国防科技大学电子科学学院面向海内外诚聘博士人才,互联网科技企业
210,揽英才! 金陵科技学院招才引智诚邀您的加盟,社会企业
211,厦门松霖2022届校园招聘简章,互联网科技企业
213,北京司拓民航科技有限责任公司2022年校园招聘简章,互联网科技企业
214,商丘工学院2021年教师招聘,互联网科技企业
215,小屯派科技2022年校园招聘,互联网科技企业
216,【甘肃国企】金川集团面向北京邮电大学秋季招聘信息,其他类型企业
217,广东省农村信用社联合社 2022届秋季校园招聘补录公告,其他类型企业
218,2022校招中信证券北京分公司管培生,金融企业
219,南京理工大学智能制造学院教师招聘,教育单位类
221,方田教育2022年校园招聘,互联网科技企业
222,慧原生，聚清春 ——慧清科技2022校园招聘简章,互联网科技企业
223,TOP TOY TMC 2022届校园招聘,互联网科技企业
224,中金创新（深圳）资产管理有限公司2021年招聘,金融企业
225,代宽带资本招聘投资经理,专业技术服务企业
227,前端开发工程师,其他类型企业
228,中讯邮电咨询设计院有限公司郑州分公司,工业科技企业
229,【校招】中信证券北京分公司管培生,金融企业
230,校招管培生,金融企业
231,2022年校园招聘,互联网科技企业
232,北京师范大学认知神经科学与学习国家重点实验室2021年聘用制人员招聘启事,互联网科技企业
234,中国人民公安大学2022年度统一公开招录人民警察预公告,教育单位类
235,董事会秘书,其他类型企业
236,厦门立林科技有限公司2022年校园招聘,互联网科技企业
237,海军航空大学2022年面向社会公开招考文职人员,社会企业
238,重磅来袭！2022年海军潜艇学院人才引进公告,社会企业
239,山东英科医疗2022届校园招聘简章,医疗科技企业
240,上商控股集团有限公司校园招聘,金融企业
241,【游戏奋斗者】多益网络2022校园招聘补录！,互联网科技企业
242,四川省环境政策研究与规划院公开招聘非在编人员公告,其他类型企业
243,广东湛江海洋医药研究院2021年招聘博士后研究人员启事,研究机构
244,华展鑫荣公司招聘学生就业,其他类型企业
245,中联重科（工业互联网板块）2022届校园招聘简章,互联网科技企业
246,龙盈智达（北京）科技有限公司,互联网科技企业
247,中信证券北京分公司管培生-校招,金融企业
248,中科星图—星图气象2022-2023年校园招聘计划,其他类型企业
249,软件研发工程师（高性能计算）,互联网科技企业
250,让世界看到你的影响力——航天宏图·校园招聘,工业科技企业
251,香港中文大学（深圳）诚聘海内外优秀人才,教育单位类
252,51WORLD-2022届校园招聘简章,互联网科技企业
253,物产中大国际贸易集团2022届校园招聘简章,其他类型企业
254,年轻 未来可期 ——浙江省农信联社2022年校园招聘公告,其他类型企业
255,权威发布！火箭军工程大学2022年面向社会公开招考文职人员岗位计划,社会企业
256,人才招聘,教育单位类
257,专利工程师/专利代理师,生活类企业
258,沈阳兴华航空电器有限责任公司,工业科技企业
259,【游戏奋斗者】多益网络2022校园招聘补录,互联网科技企业
260,北京市硕博高层次人才洽谈会---工业和信息化部人才交流中心,工业科技企业
261,由你定E新世界”，面向全球2022届校园人才 2022卡奥斯未来合伙人全面启动！,互联网科技企业
262,2021年-2022年度远洋数据校园招聘,互联网科技企业
263,软件研发工程师（系统）,互联网科技企业
264,兴华会计师事务所2022秋季校园招聘,生活类企业
265,诚揽天下英才 聚力强军伟业-海军航空大学2022年面向社会公开招考文职人员,互联网科技企业
266,2022中公教育业务岗位招聘,其他类型企业
267,校招,互联网科技企业
268,在浙里 职面未来-浙江建设职业技术学院2021年人才招聘公告,互联网科技企业
269,权威发布！火箭军工程大学2022年面向社会公开招考文职人员,互联网科技企业
270,2022年海军潜艇学院人才引进重磅来袭,互联网科技企业
271,“权威发布”国防科技大学2022年公开招考文职人员计划,互联网科技企业
272,权威发布！国防科技大学2022年文职人员招考公告,社会企业
273,湖北文理学院人才招聘,教育单位类
274,厦门大学嘉庚学院2021-2022学年人才招聘启事,教育单位类
275,创新之路、智慧领航 卡斯柯信号有限公司2022年度校园招聘,互联网科技企业
276,日立电梯2022“未来之梯，与你同立”校园招聘,其他类型企业
277,埃特曼（北京）半导体技术有限公司招聘,工业科技企业
278,北京晨晶电子有限公司 【高新技术国企】北京晨晶电子2022校招盛大启动,互联网科技企业
279,【全职】【算法工程师】,互联网科技企业
280,招聘新媒体编辑/美编设计/授课讲师,人文知识企业
281,建攀登计划 创世界一流-首都师范大学2021-2022年博士后科研 人员招收公告,互联网科技企业
282,浙江建设职业技术学院2021年人才引进计划,互联网科技企业
283,商丘工学院2021-2022学年教师招聘,互联网科技企业
284,深圳综合粒子设施研究院校园招聘公告,教育单位类
285,苏州系统医学研究所2021-2022年招聘,研究机构
